Code,plan_clustername,ClusterDC,SC_ETADockdate,Sc_actualdockdate,Deploy_ETARTODate,Deploy_ActualRTODate,Buildout_ETAWaboHandoffDate,Buildout_ActualWaboHandoffDate,Buildout_ETALiveDate,Buildout_ActualLiveDate
709230,BY3PrdApp03,BY3,NULL,00:00.0,NULL,57:04.1,NULL,00:00.0,NULL,00:00.0
709235,BL2PrdApp17,BL2,NULL,00:00.0,NULL,20:50.5,NULL,00:00.0,NULL,00:00.0
709236,BL2PrdApp19,BL2,NULL,00:00.0,NULL,32:18.2,NULL,00:00.0,NULL,00:00.0
709237,BL2PrdApp20,BL2,NULL,00:00.0,NULL,32:49.4,NULL,00:00.0,NULL,00:00.0
709243,BL2PrdApp16,BL2,NULL,00:00.0,NULL,NULL,NULL,00:00.0,NULL,00:00.0
709248,BY2PrdApp05,BY2,NULL,00:00.0,NULL,01:59.6,NULL,00:00.0,NULL,00:00.0
709266,BL3PrdApp01,BL3,NULL,00:00.0,NULL,35:33.5,NULL,00:00.0,NULL,00:00.0
709267,BY2PrdApp07,BY2,NULL,00:00.0,NULL,39:24.1,NULL,00:00.0,NULL,00:00.0
709272,CH1PrdApp06,CH1,NULL,00:00.0,NULL,45:57.8,NULL,00:00.0,NULL,00:00.0
709273,CH3PrdApp05,CH3,NULL,00:00.0,NULL,37:37.9,NULL,00:00.0,NULL,00:00.0
743006,CH1PrdApp09,CH1,NULL,00:00.0,NULL,31:53.5,NULL,00:00.0,NULL,00:00.0
743007,CH1PrdApp10,CH1,NULL,00:00.0,NULL,NULL,NULL,00:00.0,NULL,00:00.0
743008,CH1PrdApp11,CH1,NULL,00:00.0,NULL,NULL,NULL,00:00.0,NULL,00:00.0
743009,CH1PrdApp12,CH1,NULL,00:00.0,NULL,NULL,NULL,00:00.0,NULL,00:00.0
743010,CH1PrdApp13,CH1,NULL,00:00.0,NULL,29:27.7,NULL,00:00.0,NULL,00:00.0
743025,SG1PrdApp02,SG1,NULL,00:00.0,00:00.0,12:32.0,NULL,00:00.0,NULL,00:00.0
743027,HKNPrdApp01,HKN,NULL,00:00.0,00:00.0,07:35.0,NULL,00:00.0,NULL,00:00.0
743028,HKNPrdApp02,HKN,NULL,00:00.0,00:00.0,00:48.0,NULL,00:00.0,NULL,00:00.0
743160,DB3PrdApp01,DB3,NULL,00:00.0,NULL,NULL,NULL,00:00.0,NULL,00:00.0
743161,DB3PrdApp02,DB3,NULL,00:00.0,NULL,39:25.4,NULL,00:00.0,NULL,00:00.0
743162,DB3PrdApp03,DB3,NULL,00:00.0,00:00.0,56:55.0,NULL,00:00.0,NULL,00:00.0
743163,DB3PrdApp04,DB3,NULL,00:00.0,NULL,09:12.5,NULL,00:00.0,NULL,00:00.0
