Code,plan_clustername,ClusterDC1,SC_ETADockdate,Sc_actualdockdate,Deploy_ETARTODate,Deploy_ActualRTODate,Buildout_ETAWaboHandoffDate,Buildout_ActualWaboHandoffDate,Buildout_ETALiveDate,Buildout_ActualLiveDate
2340739,DM3P,DM3,NULL,NULL,00:00.0,NULL,00:00.0,NULL,00:00.0,NULL
2340740,CDM01P,CDM,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
2340745,HKG01P,HKG,NULL,NULL,00:00.0,NULL,00:00.0,NULL,00:00.0,NULL
2340747,BL7PrdStr01,BL7,NULL,NULL,00:00.0,NULL,00:00.0,NULL,00:00.0,NULL
2340755,PAR01P,PAR,NULL,NULL,00:00.0,NULL,00:00.0,NULL,00:00.0,NULL
2340756,DUB01P,DUB,NULL,NULL,00:00.0,NULL,00:00.0,NULL,00:00.0,NULL
2340757,DB5P,DB5,NULL,NULL,00:00.0,NULL,00:00.0,NULL,00:00.0,NULL
2256968,SN4PrdGPC04,SN4,00:00.0,00:00.0,00:00.0,16:22.4,00:00.0,00:44.6,00:00.0,00:00.0
2256978,SYD23PrdStp01,SYD,00:00.0,NULL,00:00.0,44:41.1,00:00.0,28:07.4,00:00.0,00:00.0
2257059,BLAPrdGPZ02,BLA,00:00.0,00:00.0,00:00.0,34:27.9,00:00.0,17:34.5,00:00.0,NULL
2257086,PAR21PrdStp02,PAR,00:00.0,00:00.0,00:00.0,48:21.7,48:21.7,NULL,48:21.7,NULL
2160793,CH1 EXO MT clean-up,CH1,NULL,NULL,49:12.0,49:16.2,NULL,NULL,NULL,NULL
2181223,CH1 EXO MT clean-up,CH1,NULL,NULL,49:12.0,49:16.2,NULL,NULL,NULL,NULL
2257128,LN1PrdGPZ01,LN1,00:00.0,00:00.0,00:00.0,34:33.5,00:00.0,32:47.0,00:00.0,00:00.0
2181388,CH1 iLO decomm,CH1,NULL,NULL,00:00.0,34:22.4,NULL,NULL,NULL,NULL
2181389,CH1 EXO MT decomm,CH1,NULL,NULL,03:49.0,03:52.6,NULL,NULL,NULL,NULL
2257233,TY1PrdGPZ02,TY1,00:00.0,00:00.0,00:00.0,19:29.5,00:00.0,41:58.1,00:00.0,00:00.0
2257240,LN1PrdStp03,LN1,00:00.0,00:00.0,00:00.0,02:42.3,00:00.0,44:04.6,00:00.0,00:00.0
2160958,CH1 EXO MT decomm,CH1,NULL,NULL,03:49.0,03:52.6,NULL,NULL,NULL,NULL
2161042,CH1 iLO decomm,CH1,NULL,NULL,00:00.0,34:22.4,NULL,NULL,NULL,NULL
2181476,ML1P,ML1,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
2149975,DM2 Server Re-Struck,DM2,NULL,NULL,00:00.0,09:50.6,NULL,NULL,NULL,NULL
2150091,LO1PrdDDC01,LO1,NULL,00:00.0,00:00.0,12:00.6,12:00.6,00:00.0,00:00.0,00:00.0
2150092,LO1PrdStr01,LO1,NULL,00:00.0,00:00.0,17:15.3,17:15.3,00:00.0,00:00.0,00:00.0
2150093,LO1PrdStr02,LO1,NULL,00:00.0,00:00.0,25:52.9,25:52.9,00:00.0,00:00.0,00:00.0
2150095,MM1PrdDDC01,MM1,NULL,00:00.0,00:00.0,41:40.8,41:40.8,00:00.0,00:00.0,00:00.0
2150096,MM1PrdStr01,MM1,NULL,00:00.0,00:00.0,37:23.0,37:23.0,00:00.0,00:00.0,00:00.0
2150097,MM1PrdStr02,MM1,NULL,00:00.0,00:00.0,22:16.7,22:16.7,00:00.0,00:00.0,00:00.0
2150129,BYAPrdDDC01,BYA,NULL,00:00.0,00:00.0,17:32.7,17:32.7,00:00.0,00:00.0,00:00.0
2181634,CH1 EXO MT clean-up,CH1,NULL,NULL,49:12.0,49:16.2,NULL,NULL,NULL,NULL
2161134,CH1 EXO MT clean-up,CH1,NULL,NULL,49:12.0,49:16.2,NULL,NULL,NULL,NULL
2136517,YT1PrdStp01,YT1,NULL,00:00.0,00:00.0,58:45.1,58:45.1,00:00.0,00:00.0,00:00.0
2136518,YQ1PrdStp01,YQ1,NULL,00:00.0,00:00.0,06:08.8,06:08.8,00:00.0,00:00.0,00:00.0
2136519,AM4PrdStp05,AM4,NULL,00:00.0,00:00.0,31:29.0,31:29.0,00:00.0,00:00.0,00:00.0
2136520,DB6PrdStp03,DB6,NULL,00:00.0,00:00.0,55:10.4,55:10.4,00:00.0,00:00.0,00:00.0
2136524,AM4PrdStp03,AM4,NULL,00:00.0,00:00.0,51:30.5,51:30.5,35:00.0,35:00.0,00:00.0
2181799,CH1 iLO decomm,CH1,NULL,NULL,00:00.0,34:22.4,NULL,NULL,NULL,NULL
2181800,CH1 EXO MT decomm,CH1,NULL,NULL,03:49.0,03:52.6,NULL,NULL,NULL,NULL
2306533,AMS20PrdStr05,AMS,00:00.0,NULL,00:00.0,NULL,00:00.0,NULL,00:00.0,NULL
2306548,CY4,CY4,NULL,NULL,00:00.0,NULL,00:00.0,NULL,00:00.0,NULL
2306575,MWH01,MWH,NULL,NULL,00:00.0,NULL,00:00.0,NULL,00:00.0,NULL
2257375,DM5PrdStr12,DM5,00:00.0,00:00.0,00:00.0,57:43.3,57:43.3,25:31.8,25:31.8,00:00.0
2257380,BN6PrdStr16,BN6,00:00.0,00:00.0,00:00.0,20:57.1,20:57.1,12:21.3,12:21.3,00:00.0
2257431,SY3PrdStr08,SY3,00:00.0,00:00.0,00:00.0,15:51.4,00:00.0,37:42.9,00:00.0,00:00.0
2257469,ML1PrdStr08,ML1,00:00.0,00:00.0,00:00.0,23:55.1,00:00.0,08:20.6,00:00.0,00:00.0
2200290,BYAPrdHPC02,BYA,NULL,NULL,00:00.0,NULL,00:00.0,NULL,00:00.0,NULL
2181975,CH1 EXO MT clean-up,CH1,NULL,NULL,49:12.0,49:16.2,NULL,NULL,NULL,NULL
2182140,CH1 iLO decomm,CH1,NULL,NULL,00:00.0,34:22.4,NULL,NULL,NULL,NULL
2182141,CH1 EXO MT decomm,CH1,NULL,NULL,03:49.0,03:52.6,NULL,NULL,NULL,NULL
2150296,CY4PrdStp02,CY4,NULL,00:00.0,00:00.0,59:52.5,59:52.5,00:00.0,00:00.0,00:00.0
2161299,CH1 EXO MT decomm,CH1,NULL,NULL,03:49.0,03:52.6,NULL,NULL,NULL,NULL
2161383,CH1 iLO decomm,CH1,NULL,NULL,00:00.0,34:22.4,NULL,NULL,NULL,NULL
2321021,CY4,CY4,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
2182316,CH1 EXO MT clean-up,CH1,NULL,NULL,49:12.0,49:16.2,NULL,NULL,NULL,NULL
2257521,DB3PrdStr11,DB3,00:00.0,00:00.0,00:00.0,05:34.0,00:00.0,26:19.4,00:00.0,00:00.0
2257522,DB3PrdStr08,DB3,00:00.0,00:00.0,00:00.0,35:30.3,00:00.0,50:35.1,00:00.0,00:00.0
2257523,DB3PrdStr10,DB3,00:00.0,00:00.0,00:00.0,16:13.0,00:00.0,41:45.0,00:00.0,00:00.0
2257527,AMS20PrdStr03,AMS,00:00.0,00:00.0,00:00.0,02:32.3,00:00.0,56:21.8,00:00.0,00:00.0
2182481,CH1 iLO decomm,CH1,NULL,NULL,00:00.0,34:22.4,NULL,NULL,NULL,NULL
2182482,CH1 EXO MT decomm,CH1,NULL,NULL,03:49.0,03:52.6,NULL,NULL,NULL,NULL
2150346,BL5PrdStp03,BL5,NULL,00:00.0,00:00.0,43:52.5,43:52.5,14:00.0,14:00.0,00:00.0
2150520,BN6PrdStp03,BN6,NULL,00:00.0,00:00.0,45:42.3,45:42.3,00:00.0,00:00.0,00:00.0
2150521,BN6PrdStp04,BN6,NULL,00:00.0,00:00.0,48:18.6,48:18.6,00:00.0,00:00.0,00:00.0
2161475,CH1 EXO MT clean-up,CH1,NULL,NULL,49:12.0,49:16.2,NULL,NULL,NULL,NULL
2161640,CH1 EXO MT decomm,CH1,NULL,NULL,03:49.0,03:52.6,NULL,NULL,NULL,NULL
2321135,SN6PrdGPZ02,SN6,NULL,NULL,00:00.0,NULL,00:00.0,NULL,00:00.0,NULL
2321154,SN6PrdStp01,SN6,00:00.0,NULL,00:00.0,NULL,00:00.0,NULL,00:00.0,NULL
2321187,BLAPrdGPC04,BLA,NULL,NULL,00:00.0,NULL,00:00.0,NULL,00:00.0,NULL
2182666,AM5PrdStp02,AM5,NULL,00:00.0,00:00.0,21:46.5,21:46.5,00:00.0,00:00.0,00:00.0
2182671,YT1PrdStp02,YT1,NULL,00:00.0,00:00.0,37:48.2,37:48.2,00:00.0,00:00.0,00:00.0
2182681,BL6PrdStp02,BL6,NULL,00:00.0,00:00.0,21:40.2,21:40.2,00:00.0,00:00.0,00:00.0
2306732,MWH01,MWH,NULL,NULL,00:00.0,NULL,00:00.0,NULL,00:00.0,NULL
2306751,MWH01,MWH,NULL,NULL,00:00.0,NULL,00:00.0,NULL,00:00.0,NULL
2306756,CY4,CY4,NULL,NULL,00:00.0,NULL,00:00.0,NULL,00:00.0,NULL
2306788,MWZ02PrdGPC04,MWZ,00:00.0,NULL,00:00.0,NULL,00:00.0,NULL,00:00.0,NULL
2306794,BN7PrdStr02,BN7,00:00.0,NULL,00:00.0,NULL,00:00.0,NULL,00:00.0,NULL
2306837,BLAPrdGPC09,BLA,00:00.0,NULL,00:00.0,NULL,00:00.0,NULL,00:00.0,NULL
2306881,SG2PrdGPM01,SG2,00:00.0,00:00.0,00:00.0,NULL,00:00.0,NULL,00:00.0,NULL
2182800,BYAPrdHPC01,BYA,NULL,00:00.0,00:00.0,45:58.2,45:58.2,00:00.0,00:00.0,00:00.0
2136777,AM4PrdDDC11,AM4,NULL,00:00.0,00:00.0,08:19.8,08:19.8,00:00.0,00:00.0,00:00.0
